ids,catalog_number,cad
2385819,5VXP900,
2385818,5VXP850,
2385817,5VXP800,
2385816,5VXP750,
2385815,5VXP710,
2385813,5VXP630,
2385814,5VXP670,
2385812,5VXP600,
2385806,SS,
2385806,SS,
2385803,1310,
2385803,1310,
2385803,1310,
2385800,SD,
2385802,E,
2385800,SD,
2385794,W,
2385794,W,
2385794,W,
2385794,W,
2385794,W,
2385794,W,
2385792,P,
2385792,P,
2385788,N,
2385788,N,
2385788,N,
2385788,N,
2385787,M,
2385786,2VP60,
2385785,QD10B25.0,
2385784,F192-14MGT-55-3020,
2385783,P72-5MGT-15AL,
2385782,P70-5MGT-15AL,
2385781,P62-5MGT-15AL,
2385780,P60-5MGT-15AL,
2385779,P56-5MGT-15AL,
2385778,P50-5MGT-15AL,
2385777,P48-5MGT-15AL,
2385776,P44-5MGT-15AL,
2385775,P40-5MGT-15AL,
2385774,P38-5MGT-15AL,
2385773,P36-5MGT-15AL,
2385772,P34-5MGT-15AL,
2385771,P32-5MGT-15AL,
2385770,P30-5MGT-15AL,
2385769,P28-5MGT-15AL,
2385767,P25-5MGT-15AL,
2385768,P26-5MGT-15AL,
2385766,P24-5MGT-15AL,
2385765,P22-5MGT-15AL,
2385763,P19-5MGT-15AL,
2385764,P20-5MGT-15AL,
2385762,P18-5MGT-15AL,
2385761,P16-5MGT-15AL,
2385760,P15-5MGT-15AL,
2385759,P14-5MGT-15AL,
2385758,P13-5MGT-15AL,
2385757,P12-5MGT-15AL,
2385756,P72-5MGT-09AL,
2385755,P70-5MGT-09AL,
2385754,P62-5MGT-09AL,
2385753,P60-5MGT-09AL,
2385752,P56-5MGT-09AL,
2385751,P50-5MGT-09AL,
2385750,P48-5MGT-09AL,
2385749,P44-5MGT-09AL,
2385748,P40-5MGT-09AL,
2385747,P38-5MGT-09AL,
2385746,P36-5MGT-09AL,
2385745,P34-5MGT-09AL,
2385744,P32-5MGT-09AL,
2385743,P30-5MGT-09AL,
2385742,P28-5MGT-09AL,
2385741,P26-5MGT-09AL,
2385740,P25-5MGT-09AL,
2385739,P24-5MGT-09AL,
2385738,P22-5MGT-09AL,
2385737,P20-5MGT-09AL,
2385736,P19-5MGT-09AL,
2385735,P18-5MGT-09AL,
2385734,P17-5MGT-09AL,
2385733,P16-5MGT-09AL,
2385732,P15-5MGT-09AL,
2385730,P13-5MGT-09AL,
2385731,P14-5MGT-09AL,
2385729,P12-5MGT-09AL,
2385728,6852BR,
2385727,6964BR,
2385726,6963BR,
2385725,6962BR,
2385724,6961BR,
2385723,6960BR,
2385722,6959BR,
2385721,6958BR,
2385720,6957BR,
2385719,6956BR,
2385718,6955BR,
2385716,6953BR,
2385717,6954BR,
2385715,6952BR,
2385714,6951BR,
2385713,6903BR,
2385712,6942BR,
2385711,6941BR,
2385709,6972BR,
2385708,6971BR,
2385707,6970BR,
2385706,6950BR,
2385705,6949BR,
2385710,6925BR,
2385703,6947BR,
2385701,6945BR,
2385702,6946BR,
2385700,6944BR,
2385699,6943BR,
2385698,6935BR,
2385704,6948BR,
2385697,6934BR,
2385696,6933BR,
2385695,6928BR,
2385694,6927BR,
2385692,6923BR,
2385691,6922BR,
2385690,6921BR,
2385689,6920BR,
2385693,6924BR,
2385687,6918BR,
2385683,6906BR,
2385688,6919BR,
2385682,6905BR,
2385681,6904BR,
2385686,6917BR,
2385680,6902BR,
2385684,6914BR,
2385685,6916BR,
2385679,6901BR,
2385678,6900BR,
2385677,6899BR,
2385676,6898BR,
2385675,6897BR,
2385674,6896BR,
2385673,6893BR,
2385672,6892BR,
2385670,6890BR,
2385669,6889BR,
2385666,6882BR,
2385671,6891BR,
2385668,6884BR,
2385667,6883BR,
2385665,6881BR,
2385664,6880BR,
2385663,6879BR,
2385662,6878BR,
2385659,6875BR,
2385660,6876BR,
2385661,6877BR,
2385658,6874BR,
2385657,6873BR,
2385656,6872BR,
2385655,6871BR,
2385654,6866BR,
2385653,6865BR,
2385650,6861BR,
2385651,6862BR,
2385652,6864BR,
2385649,6860BR,
2385648,6859BR,
2385647,6858BR,
2385646,6857BR,
2385645,6856BR,
2385642,6853BR,
2385641,6849BR,
2385644,6855BR,
2385640,6848BR,
2385643,6854BR,
2385639,6847BR,
2385638,6845BR,
2385637,6844BR,
2385636,6843BR,
2385632,6939BR,
2385633,6837BR,
2385634,6840BR,
2385635,6842BR,
2385631,6913BR,
2385630,6912BR,
2385629,6911BR,
2385628,6910BR,
2385627,6909BR,
2385625,6907BR,
2385624,6886BR,
2385626,6908BR,
2385623,6846BR,
2385622,6895BR,
2385621,6894BR,
2385620,6915BR,
2385619,6863BR,
2385618,6938BR,
2385617,6937BR,
2385616,6936BR,
2385615,6885BR,
2385614,6870BR,
2385613,6869BR,
2385612,6868BR,
2385611,6867BR,
2385610,6851BR,
2385608,6968BR,
2385609,6850BR,
2385607,6940BR,
2385606,6926BR,
2385605,6888BR,
2385604,6887BR,
2385603,6969BR,
2385602,6967BR,
2385600,6965BR,
2385601,6966BR,
2385599,6932BR,
2385597,6930BR,
2385598,6931BR,
2385596,6929BR,
2385595,6841BR,
2385592,48C4246,
2385593,40C4313,
2385591,23C4140,
2385590,19C4022,
2385589,27C3450,
2385588,23C3836,
2385587,11C3218,
2385586,41C4651,
2385585,44C4266,
2385584,40C4683,
2385582,37C4604,
2385583,21C4140,
2385581,38C4494,
2385580,29C3596,
2385579,43C3596,
2385578,13C3218,
2385574,46C3596,
2385575,24C4022,
2385577,19C3218,
2385573,49C4246,
2385576,19C3982,
2385572,49C4266,
2385571,44C4553,
2385569,39C4455,
2385568,30C3750,
2385567,48C4553,
2385570,40C4340,
2385566,43C4210,
2385565,47C4651,
2385564,68G3108,
2385563,48G5122,
2385562,37G4322,
2385560,45G4222,
2385559,20G4154,
2385561,20G4272,
2385557,98G3541,
2385558,37G3672,
2385556,69G2919,
2385555,95G3021,
2385554,73G2644,
2385553,67G3470,
2385552,70G2809,
2385551,78G3640,
2385550,24G3884,
2385549,24G5596,
2385548,26G3628,
2385546,50G4966,
2385547,40G5053,
2385544,45G4809,
2385543,39G4640,
2385542,39G4289,
2385541,40G4238,
2385545,46G4821,
2385540,34G4238,
2385539,25G4238,
2385538,26G4435,
2385537,31G4329,
2385536,21G4380,
2385535,21G3353,
2385534,38G4683,
2385533,28G4573,
2385532,26G3596,
2385531,40G3569,
2385530,40G3691,
2385529,23G4340,
2385528,33G4828,
2385527,37G4604,
2385526,47G4572,
2385525,43G4533,
2385524,38G4494,
2385523,28G4313,
2385521,21G4140,
2385519,23G3836,
2385520,33G3836,
2385518,27G3450,
2385517,44G3569,
2385516,44G4714,
2385515,40G4651,
2385514,45G4340,
2385513,40G4340,
2385512,44G4266,
2385511,42G4266,
2385510,36G4683,
2385522,38G4266,
2385509,37G4620,
2385508,44G4553,
2385507,13G3218,
2385506,19G3332,
2385505,19G3450,
2385504,26G5407,
2385503,23G4057,
2385502,42G3935,
2385501,31G3569,
2385500,23G4140,
2385498,23G3935,
2385499,23G3805,
2385497,30G3636,
2385496,46G3569,
2385495,16G3332,
2385494,27G4313,
2385493,24G4022,
2385492,20G4022E,
2385491,20G3982,
2385490,46G3596,
2385489,43G3596,
2385488,11G3218,
2385487,43G4246,
2385486,43G4266,
2385485,42G4553,
2385484,42G4714,
2385483,47G4651,
2385481,45G4368,
2385482,41G4651,
2385480,47G4340,
2385479,29G4340,
2385478,49G4246,
2385477,43G4210,
2385476,48G4246,
2385475,28G4266,
2385474,23G4246,
2385473,44G5077,
2385472,43G4340,
2385470,45G4514,
2385469,41G5116,
2385471,39G4266,
2385468,42G4683,
2385467,40G4683,
2385466,42G4620,
2385465,39G4620,
2385464,37G4474,
2385463,42G4455,
2385462,39G4455,
2385461,45G4313,
2385460,49G4313,
2385459,42G4313,
2385458,33G4313,
2385594,BBVO/350,BBVO%2F350.zip
2385457,48G4553,
2385456,19G3982E,
2385455,19G4006E,
2385454,20G4022,
2385453,19G3982,
2385452,19G4022,
2385451,19G3218,
2385450,03G3470,
2385449,30G3596,
2385448,24G4108,
2385447,29G4077,
2385442,BB155FP,
2385443,40G4313,
2385445,29G3596,
2385439,AA148FP,
2385446,32G4588,
2385441,BB172FP,
2385440,BB158FP,
2385444,30G3750,
2385438,12/CX173,
2385437,12/CX162,
2385434,12/CX120,
2385436,12/CX144,
2385435,12/CX136,
2385433,12/CX112,
2385432,12/CX105,
2385431,12/CX100,
2385430,12/CX96,
2385429,12/CX90,
2385428,12/CX85,
2385427,12/CX81,
2385425,11/CX173,
2385426,12/CX75,
2385423,11/CX144,
2385424,11/CX162,
2385422,11/CX136,
2385421,11/CX120,
2385420,11/CX112,
2385419,11/CX105,
2385418,11/CX100,
2385417,11/CX96,
2385416,11/CX90,
2385415,11/CX85,
2385414,11/CX81,
2385413,11/CX75,
2385412,10/CX173,
2385411,10/CX162,
2385410,10/CX144,
2385409,10/CX136,
2385408,10/CX120,
2385407,10/CX112,
2385406,10/CX105,
2385405,10/CX100,
2385404,10/CX96,
2385403,10/CX90,
2385402,10/CX85,
2385401,10/CX81,
2385399,9/CX173,
2385400,10/CX75,
2385398,9/CX162,
2385397,9/CX144,
2385396,9/CX136,
2385395,9/CX120,
2385394,9/CX112,
2385393,9/CX105,
2385392,9/CX100,
2385391,9/CX96,
2385390,9/CX90,
2385389,9/CX85,
2385388,9/CX81,
2385386,8/CX173,
2385387,9/CX75,
2385385,8/CX162,
2385382,8/CX120,
2385384,8/CX144,
2385383,8/CX136,
2385381,8/CX112,
